"period","shot_distance","made","miss"
"1","1",3280,1419
"1","2",2158,1665
"1","3",985,1193
"1","4",675,893
"1","5",556,730
"1","6",482,697
"1","7",443,641
"1","8",415,530
"1","9",391,505
"1","10",423,504
"1","11",404,505
"1","12",399,483
"1","13",359,432
"1","14",340,469
"1","15",325,447
"1","16",335,455
"1","17",299,455
"1","18",287,376
"1","19",256,343
"1","20",203,247
"1","21",128,197
"1","22",634,881
"1","23",1105,1594
"1","24",1086,1661
"1","25",2238,3614
"1","26",1370,2209
"1","27",562,977
"1","28",234,420
"1","29",89,174
"1","30",33,75
"2","1",3247,1393
"2","2",2120,1546
"2","3",1080,1273
"2","4",629,902
"2","5",593,841
"2","6",501,713
"2","7",458,634
"2","8",393,530
"2","9",377,447
"2","10",382,478
"2","11",391,492
"2","12",334,473
"2","13",307,406
"2","14",291,394
"2","15",318,400
"2","16",299,397
"2","17",257,337
"2","18",240,351
"2","19",203,270
"2","20",154,251
"2","21",92,184
"2","22",605,917
"2","23",1034,1632
"2","24",985,1632
"2","25",1939,3463
"2","26",1239,2231
"2","27",499,996
"2","28",216,434
"2","29",84,176
"2","30",43,87
"3","1",3231,1321
"3","2",2115,1647
"3","3",1010,1179
"3","4",627,862
"3","5",546,762
"3","6",432,622
"3","7",419,546
"3","8",386,434
"3","9",346,434
"3","10",360,448
"3","11",355,456
"3","12",340,435
"3","13",337,403
"3","14",311,378
"3","15",312,410
"3","16",284,421
"3","17",269,383
"3","18",250,378
"3","19",203,301
"3","20",155,255
"3","21",121,178
"3","22",562,852
"3","23",1080,1670
"3","24",915,1575
"3","25",2023,3455
"3","26",1273,2220
"3","27",605,1095
"3","28",232,471
"3","29",118,205
"3","30",49,97
"4","1",3013,1251
"4","2",2133,1596
"4","3",987,1167
"4","4",532,780
"4","5",454,740
"4","6",457,604
"4","7",388,549
"4","8",303,487
"4","9",295,459
"4","10",312,443
"4","11",293,408
"4","12",307,384
"4","13",251,352
"4","14",276,386
"4","15",274,377
"4","16",275,359
"4","17",236,331
"4","18",236,330
"4","19",158,286
"4","20",168,223
"4","21",110,182
"4","22",537,893
"4","23",976,1612
"4","24",934,1602
"4","25",1831,3378
"4","26",1247,2406
"4","27",565,1154
"4","28",276,516
"4","29",122,242
"4","30",50,112
